Name,Code,Price,PER,PBR,PSR,Year
SBI핀테크솔루션즈,950110,"7,310",19.38,3.84,1.9,2020
SGA솔루션즈,184230,917,NAN,NAN,NAN,2020
SM Life Design,063440,"2,385",NAN,NAN,NAN,2020
W홀딩컴퍼니,052300,304,NAN,NAN,NAN,2020
교보9호스팩,331520,"2,010",NAN,NAN,NAN,2020
나노신소재,121600,"34,000",NAN,NAN,NAN,2020
넥스트아이,137940,"1,535",NAN,NAN,NAN,2020
넥슨지티,041140,"15,350",NAN,NAN,NAN,2020
노터스,278650,"25,950",NAN,NAN,3.35,2020
누리플랜,069140,"5,860",NAN,NAN,NAN,2020
뉴프라이드,900100,717,NAN,NAN,NAN,2020
다산네트웍스,039560,"11,550",-176.43,1.56,0.87,2020
다원시스,068240,"21,250",NAN,NAN,1.89,2020
대명소노시즌,007720,"1,080",NAN,NAN,NAN,2020
대신밸런스제6호스팩,307750,"3,815",NAN,NAN,NAN,2020
대원산업,005710,"5,350",NAN,NAN,NAN,2020
덕신하우징,090410,"1,290",NAN,NAN,NAN,2020
데일리블록체인,139050,858,NAN,NAN,NAN,2020
덴티스,261200,"1,800",NAN,NAN,NAN,2020
동신건설,025950,"10,750",NAN,NAN,NAN,2020
동일기연,032960,"10,950",NAN,NAN,NAN,2020
듀오백,073190,"3,135",NAN,NAN,NAN,2020
디지아이,043360,"2,170",NAN,NAN,NAN,2020
디지털대성,068930,"6,450",7.7,1.42,1.02,2020
디티앤씨,187220,"6,220",NAN,NAN,NAN,2020
라이브플렉스,050120,573,NAN,NAN,NAN,2020
램테크놀러지,171010,"6,720",NAN,NAN,NAN,2020
레고켐바이오,141080,"54,700",87.54,9.07,19.78,2020
로보스타,090360,"13,000",NAN,NAN,NAN,2020
리드코프,012700,"7,140",NAN,NAN,NAN,2020
마크로밀엠브레인,169330,"7,630",17.55,3.03,1.66,2020
메디콕스,054180,"2,700",NAN,NAN,NAN,2020
메디포럼제약,047920,"17,250",NAN,NAN,NAN,2020
메디포스트,078160,"27,400",NAN,NAN,NAN,2020
바이오니아,064550,"26,450",NAN,NAN,NAN,2020
베뉴지,019010,"1,500",NAN,NAN,NAN,2020
베셀,177350,"3,365",NAN,NAN,NAN,2020
보라티알,250000,"12,150",NAN,NAN,NAN,2020
부방,014470,"2,095",NAN,NAN,NAN,2020
브리지텍,064480,"3,460",NAN,NAN,NAN,2020
비디아이,148140,"5,720",NAN,NAN,NAN,2020
삼진엘앤디,054090,"3,505",NAN,NAN,NAN,2020
삼천리자전거,024950,"8,960",NAN,NAN,NAN,2020
삼현철강,017480,"3,660",NAN,NAN,NAN,2020
상아프론테크,089980,"41,550",74.85,4.25,3.92,2020
서산,079650,"2,460",NAN,NAN,NAN,2020
서진오토모티브,122690,"2,535",NAN,NAN,NAN,2020
성우테크론,045300,"5,490",NAN,NAN,NAN,2020
세운메디칼,100700,"3,580",NAN,NAN,NAN,2020
세종텔레콤,036630,303,NAN,NAN,NAN,2020
소마젠,950200,"14,850",NAN,NAN,NAN,2020
솔고바이오,043100,392,NAN,NAN,NAN,2020
솔본,035610,"3,395",NAN,NAN,NAN,2020
수산아이앤티,050960,"10,450",NAN,NAN,NAN,2020
슈펙스비앤피,058530,162,NAN,NAN,NAN,2020
슈피겐코리아,192440,"68,300",7.28,1.23,1.06,2020
스맥,099440,"1,840",NAN,NAN,NAN,2020
시공테크,020710,"4,750",NAN,NAN,NAN,2020
시그네틱스,033170,669,NAN,NAN,NAN,2020
신도기연,290520,"22,800",8.42,NAN,1.57,2020
신테카바이오,226330,"28,450",NAN,NAN,NAN,2020
신한제5호스팩,323230,"1,970",NAN,NAN,NAN,2020
실리콘웍스,108320,"45,800",11.1,1.42,0.75,2020
쎄노텍,222420,"2,010",NAN,NAN,NAN,2020
쎄미시스코,136510,"8,340",NAN,NAN,NAN,2020
쎄트렉아이,099320,"24,700",20.4,2.51,2.11,2020
씨엠에스에듀,225330,"6,090",12.47,2.39,1.25,2020
씨큐브,101240,"7,440",NAN,NAN,NAN,2020
아비코전자,036010,"5,500",40.62,0.72,0.55,2020
아이엠이연이,090740,"4,535",NAN,NAN,NAN,2020
아진산업,013310,"2,775",NAN,NAN,NAN,2020
아프리카TV,067160,"55,300",18.7,4.2,3.43,2020
알티캐스트,085810,"2,005",NAN,NAN,NAN,2020
애니젠,196300,"14,950",NAN,NAN,NAN,2020
액션스퀘어,205500,"1,640",NAN,NAN,NAN,2020
앱클론,174900,"34,750",NAN,NAN,NAN,2020
에스앤더블류,103230,"1,810",NAN,NAN,NAN,2020
에스와이,109610,"3,885",NAN,NAN,NAN,2020
에스트래픽,234300,"5,550",NAN,NAN,NAN,2020
